"","month","Dewpoint","Pressure","Visibility","Windspeed","MaxSpeed","TempMax","TempMin","Precip","City"
"1","2020-01",36.941935483871,1022.3,8.9,7.5,14.3225806451613,60.2225806451613,39.0161290322581,87.8,"Atlanta"
"2","2020-02",39.4310344827586,1019.7,7.7,7.6,14.2448275862069,61.4103448275862,39.1586206896552,102.8,"Atlanta"
"3","2020-03",49.5677419354839,1020.6,8.4,6.9,13.8032258064516,73.2870967741935,50.7225806451613,69.8,"Atlanta"
"4","2020-04",44.7833333333333,1014.6,9.5,8,14.9766666666667,75.1066666666667,49.3533333333333,58.2,"Atlanta"
"5","2020-05",54.1322580645161,1016.9,9.6,6.8,12.9064516129032,80.741935483871,57,48.9,"Atlanta"
"6","2020-06",64.29,1017.2,9.7,6.3,14.9766666666667,86.5433333333333,67.2833333333333,46.8,"Atlanta"
"7","2020-07",69.0193548387097,1015.8,9.7,5.3,12.5935483870968,91.8645161290323,72.5129032258065,63.6,"Atlanta"
"8","2020-08",69.1354838709677,1015.1,9.3,5.4,12.7483870967742,90.5935483870968,71.7903225806452,73.4,"Atlanta"
"9","2020-09",62.9633333333333,1017.2,9.4,7.8,12.27,83.11,65.58,71.8,"Atlanta"
"10","2020-10",56.9838709677419,1018.2,9.3,6.7,11.7741935483871,78.3258064516129,57.2774193548387,84.8,"Atlanta"
"11","2020-11",45.2066666666667,1022.5,9,7.4,13.29,71.0833333333333,47.04,35.8,"Atlanta"
"12","2020-12",33.5774193548387,1020.4,9.5,7.2,13.1322580645161,58.4709677419355,34.0645161290323,20.9,"Atlanta"
"13","2021-01",34.4,1018.7,9.1,7.5,13.2516129032258,57.0774193548387,35.8548387096774,55.8,"Atlanta"
"14","2021-02",35.4071428571429,1018.8,8.1,8,13.2392857142857,58.9428571428571,38.2785714285714,32.9,"Atlanta"
"15","2021-03",42.4161290322581,1020.7,9.2,7.8,14.4451612903226,72.2516129032258,47.4483870967742,40.1,"Atlanta"
"16","2021-04",43.5433333333333,1016.4,9.8,7.2,13.4933333333333,76.0233333333333,50.29,24.8,"Atlanta"
"17","2021-05",53.8548387096774,1019.6,9.8,7,13.2870967741935,81.041935483871,58.3064516129032,48.1,"Atlanta"
"18","2021-06",65.07,1017,9.6,6.1,13.0533333333333,86.96,68.01,43.2,"Atlanta"
"19","2021-07",69.0258064516129,1017.4,9.3,5.1,11.4322580645161,88.8193548387097,71.1161290322581,58.2,"Atlanta"
"20","2021-08",69.5290322580645,1017.3,9.4,5.6,13.0645161290323,89.1967741935484,71.9967741935484,43.3,"Atlanta"
"21","2021-09",62.9266666666667,1016.7,9.2,5.3,10.0866666666667,83.4466666666667,64.9166666666667,29.4,"Atlanta"
"22","2021-10",56.9290322580645,1016.2,9.3,5.7,10.8935483870968,77.3709677419355,58.0709677419355,23.3,"Atlanta"
"23","2021-11",36.6733333333333,1021.9,9.9,6.9,12.8733333333333,67.2033333333333,40.2533333333333,14.4,"Atlanta"
"24","2021-12",46.3870967741936,1019.4,8.4,6.1,11.5064516129032,66.1774193548387,45.5806451612903,74.6,"Atlanta"
"25","2022-01",30.0129032258065,1020.2,9.4,8.1,15.4516129032258,57.3032258064516,32.8354838709677,31.5,"Atlanta"
"26","2022-02",35.9785714285714,1022.8,9.3,7.8,13.975,64.525,38.2392857142857,47.3,"Atlanta"
"27","2022-03",39.5516129032258,1018.3,9.1,8.2,15.5064516129032,71.158064516129,44.8677419354839,62.3,"Atlanta"
"28","2022-04",45.47,1017.7,9.6,6.9,12.82,75.9266666666667,50.7333333333333,46.5,"Atlanta"
"29","2022-05",59.4741935483871,1015.8,9.8,6.9,14.4225806451613,84.6774193548387,63.2645161290323,22.1,"Atlanta"
"30","2022-06",64.7433333333333,1015.7,9.8,6.2,13.53,91.8533333333333,70.3233333333333,36,"Atlanta"
"31","2022-07",70.4612903225806,1017,9.7,5.3,12.4548387096774,91.4387096774194,72.5387096774193,91.6,"Atlanta"
"32","2022-08",69.541935483871,1017.2,9.5,5.2,12.241935483871,88.8935483870968,71.1064516129032,69,"Atlanta"
"33","2022-09",60.47,1016.5,9.5,6.8,11.9733333333333,85.2666666666667,64.5933333333333,18.5,"Atlanta"
"34","2022-10",46.3225806451613,1018.3,9.3,6.9,11.9225806451613,75.7193548387097,49.6096774193548,19.4,"Atlanta"
"35","2022-11",43.46,1021.2,9.3,7.8,13.3033333333333,66.9966666666667,46.1233333333333,54.2,"Atlanta"
"36","2022-12",36.5806451612903,1022.4,7.9,7.1,12.6322580645161,57.9806451612903,37.0967741935484,44.7,"Atlanta"
